log,,,M1,,,,,M2,,,,,M3,,,,,M4,,,,,M5,,,,
Region,Capitolo,31/12/2019,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,,NUM,NEW,RET,CG,
15-Alessandria,BNI Marengo,14,14,0,0,0,CHAPTER,14,0,0,0,CHAPTER,16,2,0,0,CHAPTER,16,0,0,0,CHAPTER,18,3,1,0,CHAPTER
16-Genova,BNI Andalò,17,16,0,1,0,CHAPTER,18,2,0,0,CHAPTER,18,0,0,0,CHAPTER,16,0,2,0,CHAPTER,17,1,0,0,CHAPTER
16-Genova,BNI Collection,,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP
16-Genova,BNI Genovino,,0,0,0,1,CORE_GRUP,0,0,0,1,CORE_GRUP,0,0,0,1,CORE_GRUP,0,0,0,1,CORE_GRUP,0,0,0,1,CORE_GRUP
16-Genova,BNI Levante (Queen Elizabeth),18,15,0,3,0,CHAPTER,14,0,1,0,CHAPTER,20,7,1,0,CHAPTER,18,0,2,0,CHAPTER,18,1,1,0,CHAPTER
16-Genova,BNI Minotauro,18,19,1,0,0,CHAPTER,19,0,0,0,CHAPTER,18,0,1,0,CHAPTER,18,0,0,0,CHAPTER,18,0,0,0,CHAPTER
16-Genova,BNI Pantera,21,20,0,1,0,CHAPTER,21,1,0,0,CHAPTER,21,0,0,0,CHAPTER,23,2,0,0,CHAPTER,25,2,0,0,CHAPTER
16-Genova,BNI Pleiadi,40,36,0,4,0,CHAPTER,37,1,0,0,CHAPTER,37,0,0,0,CHAPTER,33,2,6,0,CHAPTER,34,1,0,0,CHAPTER
16-Genova,BNI Sextum,16,14,0,2,0,CHAPTER,15,1,0,0,CHAPTER,15,1,1,0,CHAPTER,15,0,0,0,CHAPTER,13,1,3,0,CHAPTER
16-Genova,BNI Vittoria,37,37,0,0,0,CHAPTER,37,0,0,0,CHAPTER,36,0,1,0,CHAPTER,36,0,0,0,CHAPTER,34,0,2,0,CHAPTER
17-Riviere Liguri,BNI Gallinara,34,35,1,0,0,CHAPTER,36,1,0,0,CHAPTER,37,1,0,0,CHAPTER,35,0,2,0,CHAPTER,35,0,0,0,CHAPTER
17-Riviere Liguri,BNI Il Maestrale,,0,0,0,20,CORE_GRUP,0,0,0,20,CORE_GRUP,0,0,0,20,CORE_GRUP,0,0,0,20,CORE_GRUP,0,0,0,20,CORE_GRUP
17-Riviere Liguri,BNI Impero,34,34,0,0,0,CHAPTER,34,0,0,0,CHAPTER,32,0,2,0,CHAPTER,33,1,0,0,CHAPTER,33,0,0,0,CHAPTER
17-Riviere Liguri,BNI Priamar,25,26,1,0,0,CHAPTER,26,1,0,0,CHAPTER,24,0,2,0,CHAPTER,23,1,2,0,CHAPTER,23,1,1,0,CHAPTER
17-Riviere Liguri,BNI Sanremo,33,35,2,0,0,CHAPTER,33,0,0,0,CHAPTER,35,2,0,0,CHAPTER,35,0,0,0,CHAPTER,33,0,2,0,CHAPTER
17-Riviere Liguri,BNI ValBormida,21,21,0,0,0,CHAPTER,21,0,0,0,CHAPTER,21,0,0,0,CHAPTER,20,0,1,0,CHAPTER,19,0,1,0,CHAPTER
21-Milano N,BNI Astoria,,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP,0,0,0,13,CORE_GRUP
21-Milano N,BNI Carroccio,20,20,0,0,0,CHAPTER,20,0,0,0,CHAPTER,19,0,1,0,CHAPTER,20,2,1,0,CHAPTER,19,0,1,0,CHAPTER
21-Milano N,BNI Centrale,42,41,0,1,0,CHAPTER,42,1,0,0,CHAPTER,40,0,2,0,CHAPTER,36,0,4,0,CHAPTER,33,0,3,0,CHAPTER
21-Milano N,BNI Certosa,24,23,0,1,0,CHAPTER,22,0,1,0,CHAPTER,22,0,0,0,CHAPTER,22,3,3,0,CHAPTER,22,1,1,0,CHAPTER
21-Milano N,BNI Challenge,17,16,0,1,0,CHAPTER,18,2,0,0,CHAPTER,18,0,0,0,CHAPTER,28,12,2,0,CHAPTER,26,2,4,0,CHAPTER
21-Milano N,BNI CityLife,,,,,,,,,,,,25,26,1,0,CHAPTER,22,2,5,0,CHAPTER,23,1,0,0,CHAPTER
21-Milano N,BNI Communion,32,31,1,2,0,CHAPTER,31,0,0,0,CHAPTER,29,0,2,0,CHAPTER,28,0,1,0,CHAPTER,26,0,2,0,CHAPTER
21-Milano N,BNI Corniolo,47,46,0,1,0,CHAPTER,50,4,0,0,CHAPTER,52,2,0,0,CHAPTER,52,1,1,0,CHAPTER,51,3,4,0,CHAPTER
21-Milano N,BNI Fa-Rho Business,,0,0,2,0,CORE_GRUP,0,0,2,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP
21-Milano N,BNI Happy Hour,23,23,0,0,0,CHAPTER,23,0,0,0,CHAPTER,21,0,2,0,CHAPTER,21,0,0,0,CHAPTER,22,1,0,0,CHAPTER
21-Milano N,BNI L'Aresino,35,36,1,0,0,CHAPTER,36,0,0,0,CHAPTER,37,1,0,0,CHAPTER,36,0,1,0,CHAPTER,36,0,0,0,CHAPTER
21-Milano N,BNI Le Contrade,21,23,2,0,0,CHAPTER,23,0,0,0,CHAPTER,23,1,1,0,CHAPTER,23,0,0,0,CHAPTER,21,0,2,0,CHAPTER
21-Milano N,BNI Livingston,,,,,,,,,,,,,,,,,,,,,,26,27,1,0,CHAPTER
21-Milano N,BNI Maggiolini,35,35,0,0,0,CHAPTER,34,2,3,0,CHAPTER,34,0,0,0,CHAPTER,34,0,0,0,CHAPTER,33,0,1,0,CHAPTER
21-Milano N,BNI OreTredici,,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP,0,0,0,5,CORE_GRUP
21-Milano N,BNI Palio,29,30,1,0,0,CHAPTER,30,0,0,0,CHAPTER,31,1,0,0,CHAPTER,31,0,0,0,CHAPTER,29,0,2,0,CHAPTER
21-Milano N,BNI R - Evolution,28,28,0,0,0,CHAPTER,31,4,1,0,CHAPTER,31,0,0,0,CHAPTER,24,0,7,0,CHAPTER,25,1,0,0,CHAPTER
21-Milano N,BNI Relactionship,16,14,1,3,0,CHAPTER,16,3,1,0,CHAPTER,16,0,0,0,CHAPTER,2,0,14,0,CHAPTER,2,0,0,0,CHAPTER
21-Milano N,BNI Sempione,21,22,2,1,0,CHAPTER,22,0,0,0,CHAPTER,22,0,0,0,CHAPTER,22,0,0,0,CHAPTER,21,1,2,0,CHAPTER
21-Milano N,BNI Sforzesco,,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP,0,0,0,12,CORE_GRUP
21-Milano N,BNI Taaac,26,27,1,0,0,CHAPTER,29,2,0,0,CHAPTER,29,0,0,0,CHAPTER,28,0,1,0,CHAPTER,28,0,0,0,CHAPTER
21-Milano N,BNI Villa Litta,23,23,0,0,0,CHAPTER,24,1,0,0,CHAPTER,25,1,0,0,CHAPTER,26,1,0,0,CHAPTER,25,0,1,0,CHAPTER
21-Milano N,BNI Villoresi,20,20,0,0,0,CHAPTER,20,0,0,0,CHAPTER,20,0,0,0,CHAPTER,20,0,0,0,CHAPTER,20,0,0,0,CHAPTER
22-Milano SE,BNI 5 Giornate,26,27,2,1,0,CHAPTER,26,0,1,0,CHAPTER,27,1,0,0,CHAPTER,21,2,8,0,CHAPTER,22,1,0,0,CHAPTER
22-Milano SE,BNI Ariete,,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP
22-Milano SE,BNI Bocconi,32,32,0,0,0,CHAPTER,33,1,0,0,CHAPTER,33,0,0,0,CHAPTER,32,0,1,0,CHAPTER,23,2,11,0,CHAPTER
22-Milano SE,BNI Bramante,,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP,0,0,0,15,CORE_GRUP
22-Milano SE,BNI Brera Business,,0,0,0,10,CORE_GRUP,0,0,0,10,CORE_GRUP,0,0,0,10,CORE_GRUP,0,0,0,10,CORE_GRUP,0,0,0,10,CORE_GRUP
22-Milano SE,BNI Buenos Aires,27,26,0,1,0,CHAPTER,26,0,0,0,CHAPTER,26,0,0,0,CHAPTER,26,1,1,0,CHAPTER,26,1,1,0,CHAPTER
22-Milano SE,BNI Cernusco sul Naviglio,11,0,0,11,0,CHAPTER,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP,0,0,0,0,CORE_GRUP
22-Milano SE,BNI Città Studi,25,26,1,0,0,CHAPTER,26,0,0,0,CHAPTER,26,0,0,0,CHAPTER,25,0,1,0,CHAPTER,26,2,1,0,CHAPTER
22-Milano SE,BNI Duomo,26,25,0,1,0,CHAPTER,26,2,1,0,CHAPTER,26,0,0,0,CHAPTER,24,1,3,0,CHAPTER,25,1,0,0,CHAPTER
22-Milano SE,BNI Gorgonzola,28,27,0,1,0,CHAPTER,27,0,0,0,CHAPTER,27,0,0,0,CHAPTER,27,1,1,0,CHAPTER,25,1,3,0,CHAPTER
