"ID","Id_Region","Id_Cap","Nome","Id_Director","Stato","DataCore","DataCap","ConfDataCore","ConfDataCap","MembriIni","appT2","appT3","appT4","appR","MemLancio","MemLancioRes"
"198","22","5","BNI - VITTORIA BOLOGNA","96","CAPITOLO","2018-11","2018-12","1","1","53","a","n","n","a","0","0"
"199","22","6","BNI - DUCATI","25","CAPITOLO","2018-11","2019-02","1","1","19","a","n","n","a","36","36"
"200","22","7","BNI - MONNALISA","25","CAPITOLO","2018-11","2019-02","1","1","11","a","n","n","a","18","18"
"201","22","8","BNI - NETTUNO","96","CAPITOLO","2018-11","2019-02","1","1","23","a","n","n","a","35","35"
"202","22","9","BNI - BACCANALE","97","CAPITOLO","2019-02","2019-12","1","1","0","a","n","n","r","26","26"
"203","22","10","BNI - AUTODROMO","99","CAPITOLO","2019-06","2019-12","1","1","0","a","n","n","r","20","20"
"204","22","11","BNI - COPERNICO","96","CAPITOLO","2018-11",,"1","0","4","a","n","n","r","0","0"
"206","23","1","BNI - BISANZIO","26","CAPITOLO","2018-11","2018-12","1","1","29","a","n","n","a","0","0"
"207","23","2","BNI - LA PERLA","26","SOSPESO","2018-11","2018-12","1","1","28","a","n","n","a","0","0"
"208","23","3","BNI - LA REGINA","79","CAPITOLO","2018-11","2018-12","1","1","17","a","n","n","a","0","0"
"209","23","4","BNI - MAIOLICHE","26","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"210","23","5","BNI - MALATESTA","26","CAPITOLO","2018-11","2018-12","1","1","20","a","n","n","a","0","0"
"211","23","6","BNI - SFORZA","82","CAPITOLO","2018-11","2018-12","1","1","24","a","n","n","a","0","0"
"212","23","7","BNI - TITANO","79","CAPITOLO","2016-11","2016-12","1","1","34","a","n","n","a","0","0"
"213","23","8","BNI - VALMARECCHIA ","79","CAPITOLO","2019-01","2019-11","1","1","0","a","n","n","a","29","29"
"214","23","9","BNI - VULCANO","26","CAPITOLO","2018-11","2019-09","1","1","14","a","n","n","a","34","34"
"216","24","1","BNI - CASTELFIDARDO","27","CAPITOLO","2018-11","2018-12","1","1","17","a","n","n","a","0","0"
"217","24","2","BNI - LA MUCCA VIOLA","112","CAPITOLO","2018-11","2018-12","1","1","26","a","n","n","a","0","0"
"218","24","3","BNI - OCEANO BLU","112","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"219","24","4","BNI - SAGITTA","110","CAPITOLO","2018-11","2018-12","1","1","32","a","n","n","a","0","0"
"220","24","5","BNI - VENI VIDI VICI","109","CAPITOLO","2018-11","2018-12","1","1","21","a","n","n","a","0","0"
"221","24","6","BNI - VICTORIA DORICA","110","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"222","24","7","BNI - PERGOLESI","226","CAPITOLO","2018-11","2018-12","1","1","24","a","n","n","a","0","0"
"223","24","8","BNI - POLO POSITIVO","111","CAPITOLO","2018-11","2019-11","1","1","2","a","n","n","a","17","17"
"224","24","9","BNI - ROSSINI","27","PROGETTO","2019-12",,"1","0","0","a","n","n","a","0","0"
"225","27","1","BNI - BORGHESE","100","CAPITOLO","2018-11","2018-12","1","1","31","a","n","n","a","0","0"
"226","27","2","BNI - ENEA","102","CAPITOLO","2018-11","2018-12","1","1","18","a","a","n","a","0","0"
"227","27","3","BNI - PORTO DI ROMA","104","CAPITOLO","2018-11","2018-12","1","1","34","a","p","n","a","0","0"
"228","27","4","BNI - CASTEL S.ANGELO","103","CAPITOLO","2018-11","2018-12","1","1","20","a","a","n","a","0","0"
"229","27","5","BNI - GAZOMETRO","103","CAPITOLO","2018-11","2018-12","1","1","22","a","a","n","a","0","0"
"230","27","6","BNI - GIANICOLO","30","CAPITOLO","2018-11","2018-12","1","1","30","a","n","n","a","0","0"
"231","27","7","BNI - MONTEVERDE","93","CAPITOLO","2018-11","2018-12","1","1","21","a","p","n","a","0","0"
"232","27","8","BNI - ROMA CENTRO","95","CAPITOLO","2018-11","2018-12","1","1","22","a","n","n","a","0","0"
"233","27","9","BNI - ROMAEUR","101","CAPITOLO","2018-11","2018-12","1","1","20","a","p","n","a","0","0"
"234","27","10","BNI - SAN GIOVANNI","103","CAPITOLO","2018-11","2018-12","1","1","20","a","n","n","a","0","0"
"235","27","11","BNI - SKY TOWER","94","CAPITOLO","2018-11","2018-12","1","1","23","a","p","n","a","0","0"
"236","27","12","BNI - TERMINI","101","CAPITOLO","2018-11","2018-12","1","1","37","a","p","n","a","0","0"
"237","27","13","BNI - VATICANO","101","CAPITOLO","2018-11","2018-12","1","1","19","a","p","n","a","0","0"
"238","27","14","BNI - OSTIA","91","CAPITOLO",,"2019-01","0","1","0","a","n","n","a","28","28"
"239","27","15","BNI - GIANO","102","CAPITOLO",,"2019-01","0","1","0","a","p","n","a","30","30"
"240","27","16","BNI - ROME INTERNATIONAL","98","CAPITOLO",,"2019-01","0","1","0","a","n","n","a","18","18"
"241","27","17","BNI - TRASTEVERE","30","CAPITOLO","2019-09","2019-12","1","1","0","a","n","n","a","24","24"
"242","27","18","BNI - Baby Boom","30","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"243","27","19","BNI - Il Mitreo","92","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"244","27","20","BNI - PETER PAN","108","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"245","27","21","BNI - CAPITALE","94","CHIUSO","2019-09",,"1","0","0","a","p","n","a","0","0"
"246","3","1","BNI - BOCCONI","10","CAPITOLO","2018-11","2018-12","1","1","35","a","n","n","a","0","0"
"247","3","2","BNI - BUENOS AIRES","54","CAPITOLO","2018-11","2018-12","1","1","18","a","n","n","a","0","0"
"248","3","3","BNI - CITTÀ STUDI","47","CAPITOLO","2018-11","2018-12","1","1","16","a","n","n","a","0","0"
"249","3","4","BNI - DUOMO","10","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"250","3","5","BNI - I VALORI","53","CAPITOLO","2018-11","2018-12","1","1","18","a","n","n","a","0","0"
"251","3","6","BNI - LAMBRO","53","CAPITOLO","2018-11","2018-12","1","1","23","a","n","n","a","0","0"
"252","3","7","BNI - MARTESANA","47","SOSPESO","2018-11","2018-12","1","1","14","a","n","n","a","0","0"
"253","3","8","BNI - MILANO BUSINESS LUNCH","48","CAPITOLO","2018-11","2018-12","1","1","28","a","n","n","a","0","0"
"254","3","9","BNI - OREFICI","10","CAPITOLO","2018-11","2018-12","1","1","21","a","n","n","a","0","0"
"255","3","10","BNI - PRIMAVERA","54","CAPITOLO","2018-11","2018-12","1","1","25","a","n","n","a","0","0"
"256","3","11","BNI - SEGRATE","47","CAPITOLO","2018-11","2018-12","1","1","26","a","n","n","a","0","0"
"257","3","12","BNI - 5 GIORNATE","48","CAPITOLO","2018-11","2019-01","1","1","12","a","n","n","a","21","21"
"258","3","13","BNI - L'ORA GIUSTA","54","CAPITOLO","2018-11","2019-11","1","1","4","a","n","n","a","21","21"
"259","3","14","BNI - GORGONZOLA","54","CAPITOLO","2018-11","2019-04","1","1","7","a","n","n","a","23","23"
"260","3","15","BNI - ROSSO DI SERA","47","CAPITOLO","2019-02","2019-12","1","1","0","a","n","n","a","25","25"
"261","3","16","BNI - ARIETE","58","CORE GROUP","2018-11",,"1","0","5","a","n","n","a","0","0"
"262","3","17","BNI - MILANO","47","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"263","9","1","BNI - BARBAROSSA","12","CAPITOLO","2018-11","2018-12","1","1","41","a","n","n","a","0","0"
"264","9","2","BNI - B-EST","12","CAPITOLO","2018-11","2018-12","1","1","33","a","n","n","a","0","0"
"265","9","3","BNI - BLUE DIAMOND","12","CAPITOLO","2018-11","2018-12","1","1","35","a","n","n","a","0","0"
"266","9","4","BNI - BORROMEO","12","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"267","9","5","BNI - BRIANZA","135","CAPITOLO","2018-11","2018-12","1","1","10","a","n","n","a","0","0"
"268","9","6","BNI - ERCOLE","135","CAPITOLO","2018-11","2018-12","1","1","19","a","n","n","a","0","0"
"269","9","7","BNI - MONZA CENTRO","135","CAPITOLO","2018-11","2018-12","1","1","24","a","n","n","a","0","0"
"270","9","8","BNI - TEODOLINDA","12","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"271","9","9","BNI - ALTA GAMMA","12","CAPITOLO","2018-11","2019-12","1","1","6","a","n","n","a","18","18"
"272","9","10","BNI  -ALFA","12","CORE GROUP","2019-12",,"1","0","0","a","n","n","a","0","0"
"273","11","1","BNI - BREVA E TIVANO","138","CAPITOLO","2018-11","2018-12","1","1","29","a","n","n","a","0","0"
"274","11","2","BNI - CANTÙ GALLIANO","139","CAPITOLO","2018-11","2018-12","1","1","27","a","n","n","a","0","0"
"275","11","3","BNI - COMO UNO","139","CAPITOLO","2018-11","2018-12","1","1","35","a","n","n","a","0","0"
"276","11","4","BNI - ERBA1","70","CAPITOLO","2018-11","2018-12","1","1","22","a","n","n","a","0","0"
"277","11","5","BNI - GAUDENZIA","139","CAPITOLO","2018-11","2018-12","1","1","22","a","n","n","a","0","0"
"278","11","6","BNI - INSUBRIA","139","CAPITOLO","2018-11","2018-12","1","1","28","a","n","n","a","0","0"
"279","11","7","BNI - LEGNONE","70","CAPITOLO","2018-11","2018-12","1","1","46","a","n","n","a","0","0"
"280","11","8","BNI - MANZONI","70","CAPITOLO","2018-11","2018-12","1","1","30","a","n","n","a","0","0"
"281","11","9","BNI - MARIANO COMENSE","139","CAPITOLO","2018-11","2018-12","1","1","28","a","n","n","a","0","0"
"282","11","10","BNI - MERATE","140","CAPITOLO","2018-11","2018-12","1","1","29","a","n","n","a","0","0"
